"Name","Team","Goals","Assists","Turnovers","Stops (Quaffle)","Beater Shifts","0 Bludgers","1 Bludger","2 Bludgers","BS","Stops (Beater)","Plus - Minus","Catches","Games Rostered"
"Kieran Collier","BOS","0","0","1","0","72","4","15","52","72.22%","9","22","0","12"
"Kit Powpour","ROC","13","5","7","10","1","0","0","1","100.0%","0","0","2","6"
"Kody LaBauve","CLT","0","0","0","0","129","8","59","62","48.06%","17","-10","0","12"
"Kody Marshall","LC","0","6","1","4","0","0","0","0","0%","0","0","0","3"
"Korey Johnson","CLE","1","0","7","2","0","0","0","0","0%","0","0","0","3"
"Kristina Seefeldt","TOR","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Kristopher De La Fuente","SA","0","0","1","0","81","7","24","50","61.73%","11","-1","0","6"
"Kyle Dawson","CLE","0","0","0","0","17","0","5","12","70.59%","0","6","0","3"
"Kyle Easter","LC","0","0","0","0","45","4","28","13","28.89%","11","13","0","6"
"Kyle Hemken","KC","1","0","1","0","0","0","0","0","0%","0","0","0","3"
"Kyle Louden","AUS","0","0","0","0","9","1","3","5","55.56%","4","3","0","0"
"Kyzer Polzin","AUS","0","0","0","1","92","3","21","42","45.65%","41","23","0","0"
"Larissa Gaborick","CLE","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Larissa Gaborick","CLE","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Lauren Curry","KC","0","0","0","1","28","0","19","9","32.14%","0","-2","0","3"
"Lauren Kent","TOR","0","1","0","1","0","0","0","0","0%","0","0","0","0"
"Leaf McFadden","AUS","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Leeanne Dillmann","BOS","0","0","0","0","99","12","22","63","63.64%","15","14","0","12"
"Leo Fried","NYC","5","14","9","14","0","0","0","0","0%","0","0","0","3"
"Leo Rodriguez","SA","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Levi Medeiros","TOR","1","8","12","13","0","0","0","0","0%","0","0","0","3"
"Lindsay Marella","NYC","6","15","7","13","0","0","0","0","0%","0","0","0","6"
"Linnea Schultz","IND","0","0","0","0","25","0","9","16","64.0%","3","5","0","9"
"Lisa Reisenauer","LC","0","1","3","4","0","0","0","0","0%","0","0","0","6"
"Liz Hunter","MPLS","5","0","3","0","0","0","0","0","0%","0","0","1","9"
"Logan Hartman","CLT","13","4","14","4","0","0","0","0","0%","0","0","0","12"
"Louis-Charles Dupont","OTT","0","0","1","0","125","30","56","37","29.6%","12","-59","-10","12"
"Luc Marklin","DET","0","1","1","2","0","0","0","0","0%","0","0","1","9"
"Lucas Pawley","OTT","4","1","13","5","0","0","0","0","0%","0","0","0","12"
"Lulu Xu","BOS","0","0","0","0","76","1","21","54","71.05%","8","16","0","9"
"Maddie Kyle","LC","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Madeleine Fordham","ROC","0","0","0","0","50","3","21","25","50.0%","1","2","0","6"
"Madison Burns","CLT","4","2","16","2","0","0","0","0","0%","0","0","0","12"
"Madison Kish","CLE","0","0","1","0","0","0","0","0","0%","0","0","0","3"
"Malcolm Orrange","ROC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Mallory Hughes","LC","1","0","7","7","0","0","0","0","0%","0","0","0","6"
"Marc Evrad","OTT","0","0","0","0","57","16","34","7","12.28%","1","-44","-9","6"
"Marcellus Lewis","NO","5","1","4","4","0","0","0","0","0%","0","0","0","6"
"Marco Handa","OTT","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Mariah Plain","ROC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Mary Owen","IND","3","2","2","7","14","1","5","8","57.14%","0","0","0","9"
"Mary Scott","BOS","3","2","1","3","0","0","0","0","0%","0","0","0","6"
"Mary Stewart","LC","0","0","0","2","0","0","0","0","0%","0","0","0","3"
"Mason Schaap","NO","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Matt Gulick","KC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Matthew Bessard","MPLS","6","2","6","5","0","0","0","0","0%","0","0","0","6"
"Matthew Blackwood","SA","15","14","22","12","0","0","0","0","0%","0","0","0","6"
"Matthew Brockman","OTT","7","1","23","6","0","0","0","0","0%","0","0","0","15"
"Matthew Brown","IND","0","0","0","0","108","4","31","73","67.59%","15","24","0","9"
"Matthew Bunn","TOR","2","16","17","9","0","0","0","0","0%","0","0","0","3"
"Maureen Rynes","CLE","0","0","0","1","0","0","0","0","0%","0","0","0","3"
"Maverick Schmit","NO","0","0","0","0","0","0","0","0","0%","0","0","0","0"
